Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
All: LAG 0,-0.02516357,0.005095824,0.975150394,0.965459249,0.984939,-0.131805441,0.044453566,0.986905939,0.978344479,0.995542,0.000113972,0.000602545,1.001459906,0.986435037,1.016714,-0.001867092,0.000642466,0.987937247,0.979883967,0.996057
Female,-0.02078169,0.006498082,0.979432761,0.967037571,0.991987,-0.07371704,0.05658257,0.9926554,0.981707489,1.003725,0.000128667,0.00076656,1.001648295,0.982569186,1.021098,-0.001437312,0.000817361,0.990700978,0.980438158,1.001071
Male,-0.02947787,0.006559918,0.970952365,0.958548317,0.983517,-0.189080527,0.057214063,0.981269583,0.970327138,0.992335,0.000101234,0.000775212,1.001296635,0.982011045,1.020961,-0.002293878,0.000827318,0.9852004,0.974870889,0.995639
Warm All,-0.022885686,0.006438877,0.977374205,0.965117055,0.989787,-0.13849856,0.07539603,0.986245612,0.971778406,1.000928,-0.002229186,0.000739527,0.971869657,0.954004554,0.990069,-0.002261717,0.000918689,0.985406374,0.973940312,0.997007
Warm Female,-0.013265636,0.008469899,0.986821965,0.970574963,1.003341,-0.02399017,0.0986262,0.997603858,0.978504638,1.017076,-0.001950686,0.000970086,0.975340361,0.951889523,0.999369,-0.000766104,0.001207516,0.995032702,0.979842505,1.010458
Warm Male,-0.032325034,0.008465785,0.968191836,0.952259238,0.984391,-0.25282586,0.09947226,0.975034342,0.956208638,0.994231,-0.002503091,0.000974325,0.968468264,0.945082144,0.992433,-0.003723284,0.001206629,0.976089158,0.961199015,0.99121
Cold All,-0.028244332,0.008122654,0.97215081,0.956796328,0.987752,-0.13394471,0.05643675,0.986694836,0.975840553,0.99767,0.003662553,0.001000531,1.047996953,1.022018258,1.074636,-0.001807519,0.000907102,0.988319875,0.976964119,0.999808
Cold Female,-0.029519022,0.010095111,0.970912409,0.95189034,0.990315,-0.1037094,0.0702636,0.989682653,0.976146496,1.003407,0.003435838,0.001244407,1.044960125,1.012840787,1.078098,-0.002134837,0.001125132,0.986219394,0.972183582,1.000458
Cold Male,-0.026826085,0.01027995,0.973530538,0.954111453,0.993345,-0.16290707,0.07116798,0.983841269,0.970213012,0.997661,0.003892806,0.001266059,1.051090206,1.018229188,1.085012,-0.001467637,0.001147993,0.990505718,0.976124566,1.005099
